
---------- Begin Simulation Statistics ----------
final_tick                               296316300500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 186888                       # Simulator instruction rate (inst/s)
host_mem_usage                                 304812                       # Number of bytes of host memory used
host_op_rate                                   191911                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2114.26                       # Real time elapsed on the host
host_tick_rate                              140151222                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   395129867                       # Number of instructions simulated
sim_ops                                     405750685                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.296316                       # Number of seconds simulated
sim_ticks                                296316300500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 179255601                       # number of cc regfile reads
system.cpu.cc_regfile_writes                187196778                       # number of cc regfile writes
system.cpu.committedInsts                   395129867                       # Number of Instructions Simulated
system.cpu.committedOps                     405750685                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.499843                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.499843                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          137520                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              6026907                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                101413688                       # Number of branches executed
system.cpu.iew.exec_nop                       2010139                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.788684                       # Inst execution rate
system.cpu.iew.exec_refs                    179410469                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   58325258                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4993614                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             107449148                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                715                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             61232702                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           486915372                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             121085211                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          13759439                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             467399722                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    785                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents              10595363                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                5703296                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles              10596988                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            664                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2562287                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        3464620                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 439570642                       # num instructions consuming a value
system.cpu.iew.wb_count                     437715217                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.518937                       # average fanout of values written-back
system.cpu.iew.wb_producers                 228109323                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.738595                       # insts written-back per cycle
system.cpu.iew.wb_sent                      440320200                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                662767428                       # number of integer regfile reads
system.cpu.int_regfile_writes               272493899                       # number of integer regfile writes
system.cpu.ipc                               0.666737                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.666737                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                11      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             294955333     61.30%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                  902      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                   104      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               12861      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                  83      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  82      0.00%     61.30% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult            1740867      0.36%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc              20      0.00%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                  21      0.00%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                150      0.00%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                 10      0.00%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  428      0.00%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     61.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                71716      0.01%     61.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                71684      0.01%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   20      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 237      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               2      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     61.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     61.70% # Type of FU issued
